,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
14477,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata - Eden Gardens,7,109,10,3.8181818181818183,0,1,0.37,0.63
14596,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",5,72,10,0.625,1,0,0.8,0.2
14600,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",9,69,10,1.0588235294117647,1,0,0.76,0.24
14601,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",9,68,10,1.0384615384615385,1,0,0.74,0.26
14649,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",66,23,8,4.082474226804123,1,0,0.53,0.47
14667,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",91,118,8,273.0,1,0,0.55,0.45
14668,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",92,117,8,184.0,1,0,0.62,0.38
15009,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,39,80,8,5.85,1,0,0.59,0.41
15047,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,90,43,8,7.012987012987013,1,0,0.51,0.49
15049,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,91,41,8,6.9113924050632916,1,0,0.67,0.33
15050,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,91,40,8,6.824999999999999,1,0,0.86,0.14
15087,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,138,8,7,7.392857142857142,1,0,0.92,0.08
15096,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,4,78,10,0.5714285714285714,1,0,0.5426190476190476,0.4573809523809524
15099,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,7,75,10,0.9333333333333333,1,0,0.5366666666666667,0.46333333333333326
15335,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,88,54,3,8.0,0,1,0.25,0.75
15336,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,89,53,3,7.970149253731344,0,1,0.22,0.78
15337,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,89,52,3,7.852941176470588,0,1,0.16,0.84
15338,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,89,51,3,7.739130434782608,0,1,0.15,0.85
15359,Delhi Capitals,Chennai Super Kings,Delhi - Arun Jaitley Cricket Stadium,22,100,10,6.6,0,1,0.3511666666666667,0.6488333333333333
16209,Royal Challengers Bangalore,Chennai Super Kings,Bangalore - M Chinnaswamy Stadium,6,1,10,0.3025210084033614,1,0,0.92,0.08
16210,Royal Challengers Bangalore,Chennai Super Kings,Bangalore - M Chinnaswamy Stadium,8,0,10,0.4,1,0,0.93,0.07
16315,Royal Challengers Bangalore,Chennai Super Kings,Bangalore - M Chinnaswamy Stadium,143,62,5,14.793103448275863,1,0,0.725,0.275
16317,Royal Challengers Bangalore,Chennai Super Kings,Bangalore - M Chinnaswamy Stadium,147,60,5,14.7,1,0,0.7016666666666665,0.29833333333333334
